Taxa	Genotype	Country	Date
OQ181379.1	HCV-1	Mexico	2017
OQ181378.1	HCV-1	Mexico	2017
OQ181377.1	HCV-1	Mexico	2016
OQ181376.1	HCV-1	Mexico	2016
OP894660.1	HCV-1	France	2016
OP894659.1	HCV-1	France	2017
OP894658.1	HCV-1	France	2017
OP894657.1	HCV-1	France	2017
OP894656.1	HCV-1	France	2012
OP894655.1	HCV-1	France	2017
OP894654.1	HCV-1	France	2017
OP894653.1	HCV-1	France	2017
OP894652.1	HCV-1	France	2017
OP894651.1	HCV-1	France	2018
OP894650.1	HCV-1	France	2018
OP894649.1	HCV-1	France	2018
OP894648.1	HCV-1	France	2018
OP894647.1	HCV-1	France	2018
OP894646.1	HCV-1	France	2018
OP894645.1	HCV-1	France	2017
OP894644.1	HCV-1	France	2017
OP894643.1	HCV-1	France	2017
OP894642.1	HCV-1	France	2017
OP894641.1	HCV-1	France	2017
OP894640.1	HCV-1	France	2017
OP894639.1	HCV-1	France	2017
OP894638.1	HCV-1	France	2017
OP894637.1	HCV-1	France	2017
OP894636.1	HCV-1	France	2016
OP894635.1	HCV-1	France	2016
OP894634.1	HCV-1	France	2016
OP894633.1	HCV-1	France	2016
OP894632.1	HCV-1	France	2015
OP894631.1	HCV-1	France	2015
OP555745.1	HCV-4	Denmark	2022
OP555744.1	HCV-4	Denmark	2022
OP555743.1	HCV-4	Denmark	2022
OP555742.1	HCV-4	Denmark	2022
OP555741.1	HCV-4	Denmark	2022
OP555740.1	HCV-4	Denmark	2022
OP555739.1	HCV-4	Denmark	2022
OP022921.1	HCV-2	United Kingdom	2019
OP022920.1	HCV-2	United Kingdom	2019
OP022919.1	HCV-2	United Kingdom	2019
OP022918.1	HCV-2	United Kingdom	2018
OP022917.1	HCV-2	United Kingdom	2019
OP022916.1	HCV-2	United Kingdom	2019
OP022915.1	HCV-2	United Kingdom	2019
OP022914.1	HCV-2	United Kingdom	2018
OP022913.1	HCV-2	United Kingdom	2019
OP022912.1	HCV-2	United Kingdom	2018
OP022911.1	HCV-2	United Kingdom	2019
OP022910.1	HCV-2	United Kingdom	2019
OP022909.1	HCV-2	United Kingdom	2019
OP022908.1	HCV-2	United Kingdom	2019
OP022907.1	HCV-2	United Kingdom	2019
OP022906.1	HCV-2	United Kingdom	2018
OP022905.1	HCV-2	United Kingdom	2019
OP022904.1	HCV-2	United Kingdom	2019
OP022903.1	HCV-2	United Kingdom	2018
OP022902.1	HCV-2	United Kingdom	2015
ON676559.1	HCV-1	Mexico	2020
ON630900.1	HCV-4	Germany	2018
ON630899.1	HCV-4	Netherlands	2019
ON630898.1	HCV-4	Germany	2019
ON630897.1	HCV-4	Australia	2018
ON630896.1	HCV-4	Germany	2019
ON630895.1	HCV-4	Germany	2019
ON630894.1	HCV-4	Germany	2018
ON630893.1	HCV-4	Germany	2019
ON630892.1	HCV-4	Germany	2018
ON630891.1	HCV-4	Germany	2019
ON630890.1	HCV-4	Germany	2019
ON630889.1	HCV-4	Germany	2019
ON630888.1	HCV-4	Germany	2018
ON630887.1	HCV-4	Germany	2018
ON630886.1	HCV-4	Germany	2017
ON630885.1	HCV-4	Germany	2017
ON630884.1	HCV-4	Germany	2017
ON630883.1	HCV-4	Germany	2017
ON630882.1	HCV-4	United Kingdom	2019
ON630881.1	HCV-4	United Kingdom	2018
ON630880.1	HCV-4	United Kingdom	2018
ON630879.1	HCV-4	United Kingdom	2018
ON630878.1	HCV-4	Canada	2018
ON630877.1	HCV-4	Canada	2018
ON630876.1	HCV-4	Canada	2017
ON630875.1	HCV-4	Canada	2019
ON630874.1	HCV-4	Netherlands	2018
ON630873.1	HCV-4	Netherlands	2017
ON630872.1	HCV-4	United Kingdom	2017
ON630871.1	HCV-4	United Kingdom	2017
ON630870.1	HCV-4	United Kingdom	2017
ON630869.1	HCV-1	Germany	2018
ON630868.1	HCV-1	Germany	2019
ON630867.1	HCV-1	Netherlands	2019
ON630866.1	HCV-1	Netherlands	2018
ON630865.1	HCV-1	Germany	2019
ON630864.1	HCV-1	Netherlands	2018
ON630863.1	HCV-1	United States	2019
ON630862.1	HCV-1	United Kingdom	2018
ON630861.1	HCV-1	Netherlands	2018
ON630860.1	HCV-1	Netherlands	2017
ON630859.1	HCV-1	New Zealand	2019
ON630858.1	HCV-1	Australia	2018
ON630857.1	HCV-1	Australia	2017
ON630856.1	HCV-1	Australia	2017
ON630855.1	HCV-1	Australia	2018
ON630854.1	HCV-1	Germany	2019
ON630853.1	HCV-1	Germany	2019
ON630852.1	HCV-1	Germany	2019
ON630851.1	HCV-1	Germany	2018
ON630850.1	HCV-1	Germany	2018
ON630849.1	HCV-1	Germany	2019
ON630848.1	HCV-1	Germany	2019
ON630847.1	HCV-1	Germany	2019
ON630846.1	HCV-1	Germany	2019
ON630845.1	HCV-1	Germany	2019
ON630844.1	HCV-1	Germany	2019
ON630843.1	HCV-1	Germany	2019
ON630842.1	HCV-1	Germany	2018
ON630841.1	HCV-1	Germany	2018
ON630840.1	HCV-1	Germany	2018
ON630839.1	HCV-1	Germany	2019
ON630838.1	HCV-1	Germany	2018
ON630837.1	HCV-1	Germany	2018
ON630836.1	HCV-1	Germany	2017
ON630835.1	HCV-1	Germany	2017
ON630834.1	HCV-1	Germany	2017
ON630833.1	HCV-1	Germany	2017
ON630832.1	HCV-1	United Kingdom	2019
ON630831.1	HCV-1	United Kingdom	2019
ON630830.1	HCV-1	United Kingdom	2019
ON630829.1	HCV-1	United Kingdom	2019
ON630828.1	HCV-1	United Kingdom	2018
ON630827.1	HCV-1	United Kingdom	2018
ON630826.1	HCV-1	United Kingdom	2018
ON630825.1	HCV-1	United Kingdom	2018
ON630824.1	HCV-1	United Kingdom	2018
ON630823.1	HCV-1	United Kingdom	2018
ON630822.1	HCV-1	United Kingdom	2018
ON630821.1	HCV-1	United Kingdom	2018
ON630820.1	HCV-1	United Kingdom	2017
ON630819.1	HCV-1	United Kingdom	2017
ON630818.1	HCV-1	United Kingdom	2017
ON630817.1	HCV-1	United Kingdom	2017
ON630816.1	HCV-1	United Kingdom	2019
ON630815.1	HCV-1	United Kingdom	2019
ON630814.1	HCV-1	United Kingdom	2018
ON630813.1	HCV-1	United Kingdom	2018
ON630812.1	HCV-1	United Kingdom	2018
ON630811.1	HCV-1	United Kingdom	2018
ON630810.1	HCV-1	United Kingdom	2018
ON630809.1	HCV-1	United Kingdom	2018
ON630808.1	HCV-1	United Kingdom	2018
ON630807.1	HCV-1	United Kingdom	2018
ON630806.1	HCV-1	United Kingdom	2018
ON630805.1	HCV-1	United Kingdom	2018
ON630804.1	HCV-1	United Kingdom	2017
ON630803.1	HCV-1	United Kingdom	2017
ON630802.1	HCV-1	United Kingdom	2017
ON630801.1	HCV-1	United Kingdom	2017
ON630800.1	HCV-1	United Kingdom	2017
ON630799.1	HCV-1	United Kingdom	2017
ON630798.1	HCV-1	United Kingdom	2017
ON630797.1	HCV-1	United Kingdom	2017
ON630796.1	HCV-1	United Kingdom	2017
ON630795.1	HCV-1	Switzerland	2019
ON630794.1	HCV-1	Switzerland	2018
ON630793.1	HCV-1	Switzerland	2018
ON630792.1	HCV-1	Switzerland	2019
ON630791.1	HCV-1	Switzerland	2018
ON630790.1	HCV-1	Switzerland	2018
ON630789.1	HCV-1	Netherlands	2019
ON630788.1	HCV-1	Netherlands	2019
ON630787.1	HCV-1	Netherlands	2019
ON630786.1	HCV-1	Netherlands	2018
ON630785.1	HCV-1	Netherlands	2018
ON630784.1	HCV-1	Netherlands	2018
ON630783.1	HCV-1	Netherlands	2018
ON630782.1	HCV-1	Netherlands	2018
ON630781.1	HCV-1	Netherlands	2018
ON630780.1	HCV-1	Netherlands	2018
ON630779.1	HCV-1	Netherlands	2017
ON630778.1	HCV-1	Netherlands	2017
ON630777.1	HCV-1	Netherlands	2017
ON630776.1	HCV-1	Netherlands	2017
ON630775.1	HCV-1	Netherlands	2017
ON630774.1	HCV-1	Canada	2017
ON630773.1	HCV-1	Canada	2018
ON630772.1	HCV-1	Canada	2018
ON630771.1	HCV-1	Canada	2018
ON630770.1	HCV-1	United States	2019
ON630769.1	HCV-1	United States	2019
ON630768.1	HCV-1	United States	2019
ON630767.1	HCV-1	United States	2019
ON630766.1	HCV-1	United States	2019
ON630765.1	HCV-1	United States	2019
ON630764.1	HCV-1	United States	2019
ON630763.1	HCV-1	United States	2018
ON314828.1	HCV-2	Guinea	2014
ON314827.1	HCV-2	Guinea	2014
ON314826.1	HCV-2	Guinea	2004
ON314825.1	HCV-2	Guinea	2004
ON314824.1	HCV-2	Guinea	2014
ON314823.1	HCV-2	Guinea	2014
ON314822.1	HCV-2	Guinea	2014
ON314821.1	HCV-2	Guinea	2014
ON314820.1	HCV-2	Guinea	2004
ON314819.1	HCV-2	Guinea	2014
ON314818.1	HCV-2	Guinea	2014
ON314817.1	HCV-2	Guinea	2014
ON314816.1	HCV-2	Guinea	2014
ON314815.1	HCV-2	Guinea	2014
ON314814.1	HCV-2	Guinea	2014
ON314813.1	HCV-2	Guinea	2014
ON314812.1	HCV-2	Guinea	2004
OM897000.1	HCV-3	China	2011
OM896999.1	HCV-3	China	2011
OM896998.1	HCV-3	China	2011
OM896997.1	HCV-3	China	2011
OM896996.1	HCV-3	China	2011
OM896995.1	HCV-3	China	2011
OM896994.1	HCV-3	China	2011
OM896993.1	HCV-3	China	2011
OM896992.1	HCV-3	China	2011
OM896991.1	HCV-3	China	2011
OM896990.1	HCV-3	China	2011
OM896989.1	HCV-3	China	2011
OM896988.1	HCV-3	China	2011
OM896987.1	HCV-3	China	2011
OM896986.1	HCV-3	China	2010
OM896985.1	HCV-3	China	2010
OM896984.1	HCV-3	China	2010
OM896983.1	HCV-3	China	2010
OM896982.1	HCV-3	China	2010
OM896981.1	HCV-3	China	2010
OM896980.1	HCV-3	China	2011
OM896979.1	HCV-3	China	2011
OM896978.1	HCV-3	China	2011
OM896977.1	HCV-3	China	2011
OM896976.1	HCV-3	China	2011
OM896975.1	HCV-3	China	2011
OM896974.1	HCV-3	China	2011
OM896973.1	HCV-3	China	2011
OM896972.1	HCV-3	China	2011
OM896971.1	HCV-3	China	2011
OM896970.1	HCV-3	China	2011
OM896969.1	HCV-3	China	2011
OM896968.1	HCV-3	China	2011
OM896967.1	HCV-3	China	2011
OM896966.1	HCV-3	China	2011
OM896965.1	HCV-3	China	2011
OM896964.1	HCV-3	China	2011
OM896963.1	HCV-3	China	2010
OM896962.1	HCV-3	China	2010
OM896961.1	HCV-3	China	2010
OM896960.1	HCV-3	China	2010
OM896959.1	HCV-3	China	2010
OM896958.1	HCV-3	China	2010
OM896957.1	HCV-3	China	2010
OM896956.1	HCV-3	China	2010
OM896955.1	HCV-3	China	2010
OM896954.1	HCV-3	China	2010
OM896953.1	HCV-3	China	2010
OM896952.1	HCV-3	China	2009
OM896951.1	HCV-3	China	2009
OM896950.1	HCV-3	China	2009
OM896949.1	HCV-3	China	2009
OM896948.1	HCV-3	China	2009
OM896947.1	HCV-3	China	2008
OM896946.1	HCV-3	China	2008
OM896945.1	HCV-3	China	2009
OM896944.1	HCV-3	China	2010
OM896943.1	HCV-3	China	2010
OM896942.1	HCV-3	China	2011
OM896941.1	HCV-3	China	2011
OM896940.1	HCV-3	China	2011
OM896939.1	HCV-3	China	2011
OM896938.1	HCV-3	China	2011
OM896937.1	HCV-3	China	2011
OM896936.1	HCV-3	China	2011
OM896935.1	HCV-3	China	2011
OM896934.1	HCV-3	China	2011
OM896933.1	HCV-3	China	2011
OM896932.1	HCV-3	China	2011
OM896931.1	HCV-3	China	2011
OM896930.1	HCV-3	China	2011
OM896929.1	HCV-3	China	2011
OM896928.1	HCV-3	China	2011
OM896927.1	HCV-3	China	2011
OM896926.1	HCV-3	China	2011
OM896925.1	HCV-3	China	2011
OM896924.1	HCV-3	China	2011
OM896923.1	HCV-3	China	2011
OM896922.1	HCV-3	China	2011
OM896921.1	HCV-3	China	2011
OM896920.1	HCV-3	China	2011
OM896919.1	HCV-3	China	2011
OM896918.1	HCV-3	China	2011
OM896917.1	HCV-3	China	2011
OM896916.1	HCV-3	China	2011
OM896915.1	HCV-3	China	2011
OM896914.1	HCV-3	China	2011
OM896913.1	HCV-3	China	2011
OM896912.1	HCV-3	China	2011
OM896911.1	HCV-3	China	2011
OM896910.1	HCV-3	China	2011
OM896909.1	HCV-3	China	2011
OM896908.1	HCV-3	China	2011
OM896907.1	HCV-3	China	2011
OM896906.1	HCV-3	China	2011
OM896905.1	HCV-3	China	2011
OM896904.1	HCV-3	China	2011
OM896903.1	HCV-3	China	2011
OM896902.1	HCV-3	China	2010
OM896901.1	HCV-3	China	2010
OM896900.1	HCV-3	China	2010
OM896899.1	HCV-3	China	2010
OM896898.1	HCV-3	China	2010
OM896897.1	HCV-3	China	2009
OM896896.1	HCV-3	China	2010
OM896895.1	HCV-3	China	2010
OM896894.1	HCV-3	China	2011
OM896893.1	HCV-3	China	2011
OM896892.1	HCV-3	China	2011
OM896891.1	HCV-3	China	2011
OM896890.1	HCV-3	China	2010
OM896889.1	HCV-3	China	2010
OM896888.1	HCV-3	China	2010
OM896887.1	HCV-3	China	2010
OM896886.1	HCV-3	China	2010
OM896885.1	HCV-3	China	2010
OM896884.1	HCV-3	China	2009
OM896883.1	HCV-3	China	2009
OM896882.1	HCV-3	China	2011
OM896881.1	HCV-3	China	2011
OM525910.1	HCV-2	Benin	2019
OM525909.1	HCV-1	Benin	2019
OM525908.1	HCV-2	Benin	2019
OM525907.1	HCV-2	Benin	2019
OM525906.1	HCV-1	Benin	2019
OM525905.1	HCV-2	Benin	2019
OM525904.1	HCV-2	Benin	2019
OM525903.1	HCV-2	Benin	2019
OM525902.1	HCV-1	Benin	2019
OM525901.1	HCV-2	Benin	2019
OM525900.1	HCV-2	Benin	2019
OM525899.1	HCV-2	Benin	2019
OM525898.1	HCV-2	Benin	2019
OM525897.1	HCV-1	Benin	2019
OM525896.1	HCV-1	Benin	2019
OM525895.1	HCV-1	Benin	2019
OM525894.1	HCV-1	Benin	2019
OM525893.1	HCV-2	Benin	2019
OM525892.1	HCV-1	Benin	2019
OM525891.1	HCV-1	Benin	2019
OM525890.1	HCV-2	Benin	2019
OM525889.1	HCV-1	Benin	2019
OM525888.1	HCV-1	Benin	2019
OM525887.1	HCV-2	Benin	2019
OM525886.1	HCV-2	Benin	2019
OM525885.1	HCV-2	Benin	2019
OM525884.1	HCV-2	Benin	2019
OM525883.1	HCV-1	Benin	2019
OM525882.1	HCV-1	Benin	2019
OM525881.1	HCV-2	Benin	2019
OM525880.1	HCV-2	Benin	2019
OM525879.1	HCV-2	Benin	2019
OM525878.1	HCV-2	Benin	2019
OM525877.1	HCV-2	Benin	2019
OM525876.1	HCV-1	Benin	2019
OM525875.1	HCV-1	Benin	2019
OM525874.1	HCV-2	Benin	2019
OM525873.1	HCV-1	Benin	2019
OM525872.1	HCV-1	Benin	2019
OM525871.1	HCV-1	Benin	2019
OM525870.1	HCV-2	Benin	2019
OM525869.1	HCV-1	Benin	2019
OM525868.1	HCV-1	Benin	2019
OM525867.1	HCV-1	Benin	2019
OM525866.1	HCV-1	Benin	2019
OM525865.1	HCV-1	Benin	2019
OM525864.1	HCV-1	Benin	2019
OM525863.1	HCV-1	Benin	2019
OM525862.1	HCV-1	Benin	2019
OM525861.1	HCV-2	Benin	2019
OM525860.1	HCV-2	Benin	2019
OM525859.1	HCV-1	Benin	2019
OM525858.1	HCV-2	Benin	2019
OM525857.1	HCV-2	Benin	2019
OM525856.1	HCV-1	Benin	2019
OM525855.1	HCV-2	Benin	2019
OM525854.1	HCV-1	Benin	2019
OM513955.1	HCV-3	India	2018
OM513954.1	HCV-3	India	2018
OM513953.1	HCV-1	India	2018
OM513952.1	HCV-1	India	2018
OM513951.1	HCV-3	India	2018
OM513950.1	HCV-3	India	2018
OM513949.1	HCV-3	India	2018
OM513948.1	HCV-3	India	2018
OM513947.1	HCV-3	India	2018
OM513946.1	HCV-3	India	2018
OM513945.1	HCV-3	India	2018
OM513944.1	HCV-3	India	2018
OM513943.1	HCV-3	India	2018
OM513942.1	HCV-3	India	2017
OM513941.1	HCV-3	India	2018
OM513940.1	HCV-1	India	2017
OM513939.1	HCV-1	India	2017
OM513938.1	HCV-3	India	2017
OM513937.1	HCV-3	India	2017
OM513936.1	HCV-3	India	2017
OM513935.1	HCV-3	India	2017
OM513934.1	HCV-3	India	2017
OM222703.1	HCV-1	Germany	2021
OM222702.1	HCV-1	Germany	2014
OL332203.1	HCV-1	United States	2005
OL332202.1	HCV-1	United States	2005
OL332201.1	HCV-1	United States	2005
OL332200.1	HCV-1	United States	2005
OL332199.1	HCV-1	United States	2005
OL332198.1	HCV-1	United States	2005
OL332197.1	HCV-1	United States	2005
OL332196.1	HCV-1	United States	2005
OL332195.1	HCV-1	United States	2005
OL332194.1	HCV-1	United States	2005
OL332193.1	HCV-1	United States	2005
OL332192.1	HCV-1	United States	2005
OL332191.1	HCV-1	United States	2005
OL332190.1	HCV-1	United States	2005
OL332189.1	HCV-1	United States	2005
OL332188.1	HCV-1	United States	2005
OL332187.1	HCV-1	United States	2005
OL332186.1	HCV-1	United States	2005
OL332185.1	HCV-1	United States	2005
OL332184.1	HCV-1	United States	2005
OL332183.1	HCV-1	United States	2005
OL332182.1	HCV-1	United States	2005
OL332181.1	HCV-1	United States	2005
OL332180.1	HCV-1	United States	2005
OL332179.1	HCV-1	United States	2005
OL332178.1	HCV-1	United States	2005
OL332177.1	HCV-1	United States	2005
OL332176.1	HCV-1	United States	2005
OL332175.1	HCV-1	United States	2005
OL332174.1	HCV-1	United States	2005
OL332173.1	HCV-1	United States	2005
OL332172.1	HCV-1	United States	2005
OL332171.1	HCV-1	United States	2005
OL332170.1	HCV-1	United States	2005
OL332169.1	HCV-1	United States	2005
OL332168.1	HCV-1	United States	2005
OL332167.1	HCV-1	United States	2005
OL332166.1	HCV-1	United States	2005
OL332165.1	HCV-1	United States	2005
OL332164.1	HCV-1	United States	2005
OL332163.1	HCV-1	United States	2005
OL332162.1	HCV-1	United States	2005
OL332161.1	HCV-1	United States	2005
OL332160.1	HCV-1	United States	2005
OL332159.1	HCV-1	United States	2005
OL332158.1	HCV-1	United States	2005
OL332157.1	HCV-1	United States	2005
OL332156.1	HCV-1	United States	2005
OL332155.1	HCV-1	United States	2005
OL332154.1	HCV-1	United States	2005
OL332153.1	HCV-1	United States	2005
OL332152.1	HCV-1	United States	2005
OL332151.1	HCV-1	United States	2005
OL332150.1	HCV-1	United States	2005
OL332149.1	HCV-1	United States	2005
OL332148.1	HCV-1	United States	2005
OL332147.1	HCV-1	United States	2005
OL332146.1	HCV-1	United States	2005
OL332145.1	HCV-1	United States	2005
OL332144.1	HCV-1	United States	2005
OL332143.1	HCV-1	United States	2005
OL332142.1	HCV-1	United States	2005
OL332141.1	HCV-1	United States	2005
OL332140.1	HCV-1	United States	2005
OL332139.1	HCV-1	United States	2005
OL332138.1	HCV-1	United States	2005
OL332137.1	HCV-1	United States	2005
OL332136.1	HCV-1	United States	2005
OL332135.1	HCV-1	United States	2005
OL332134.1	HCV-1	United States	2005
OL332133.1	HCV-1	United States	2005
OL332132.1	HCV-1	United States	2005
OL332131.1	HCV-1	United States	2004
OL332130.1	HCV-1	United States	2004
OL332129.1	HCV-1	United States	2004
OL332128.1	HCV-1	United States	2004
OL332127.1	HCV-1	United States	2004
OL332126.1	HCV-1	United States	2004
OL332125.1	HCV-1	United States	2004
OL332124.1	HCV-1	United States	2004
OL332123.1	HCV-1	United States	2004
OL332122.1	HCV-1	United States	2004
OL332121.1	HCV-1	United States	2004
OL332120.1	HCV-1	United States	2004
OL332119.1	HCV-1	United States	2004
OL332118.1	HCV-1	United States	2004
OL332117.1	HCV-1	United States	2004
OL332116.1	HCV-1	United States	2004
OL332115.1	HCV-1	United States	2004
OL332114.1	HCV-1	United States	2004
OL332113.1	HCV-1	United States	2004
OL332112.1	HCV-1	United States	2004
OL332111.1	HCV-1	United States	2004
OL332110.1	HCV-1	United States	2004
OL332109.1	HCV-1	United States	2004
OL332108.1	HCV-1	United States	2004
OL332107.1	HCV-1	United States	2004
OL332106.1	HCV-1	United States	2004
OL332105.1	HCV-1	United States	2004
OL332104.1	HCV-1	United States	2004
OL332103.1	HCV-1	United States	2004
OL332102.1	HCV-1	United States	2004
OL332101.1	HCV-1	United States	2004
OL332100.1	HCV-1	United States	2004
OL332099.1	HCV-1	United States	2004
OL332098.1	HCV-1	United States	2004
OL332097.1	HCV-1	United States	2004
OL332096.1	HCV-1	United States	2004
OL332095.1	HCV-1	United States	2004
OL332094.1	HCV-1	United States	2004
OL332093.1	HCV-1	United States	2004
OL332092.1	HCV-1	United States	2004
OL332091.1	HCV-1	United States	2004
OL332090.1	HCV-1	United States	2004
OL332089.1	HCV-1	United States	2004
OL332088.1	HCV-1	United States	2004
OL332087.1	HCV-1	United States	2004
OL332086.1	HCV-1	United States	2004
OL332085.1	HCV-1	United States	2004
OL332084.1	HCV-1	United States	2004
OL332083.1	HCV-1	United States	2004
OL332082.1	HCV-1	United States	2004
OL332081.1	HCV-1	United States	2004
OL332080.1	HCV-1	United States	2004
OL332079.1	HCV-1	United States	2004
OL332078.1	HCV-1	United States	2004
OL332077.1	HCV-1	United States	2004
OL332076.1	HCV-1	United States	2004
OL332075.1	HCV-1	United States	2004
OL332074.1	HCV-1	United States	2004
OL332073.1	HCV-1	United States	2004
OL332072.1	HCV-1	United States	2004
OL332071.1	HCV-1	United States	2004
OL332070.1	HCV-1	United States	2004
OL332069.1	HCV-1	United States	2004
OL332068.1	HCV-1	United States	2004
OL332067.1	HCV-1	United States	2004
OL332066.1	HCV-1	United States	2004
OL332065.1	HCV-1	United States	2004
OL332064.1	HCV-1	United States	2004
OL332063.1	HCV-1	United States	2004
OL332062.1	HCV-1	United States	2004
OL332061.1	HCV-1	United States	2004
OL332060.1	HCV-1	United States	2004
OL332059.1	HCV-1	United States	2004
OL332058.1	HCV-1	United States	2004
OL332057.1	HCV-1	United States	2004
OL332056.1	HCV-1	United States	2004
OL332055.1	HCV-1	United States	2004
OL332054.1	HCV-1	United States	2004
OL332053.1	HCV-1	United States	2004
OL332052.1	HCV-1	United States	2004
OL332051.1	HCV-1	United States	2004
OL332050.1	HCV-1	United States	2004
OL332049.1	HCV-1	United States	2004
OL332048.1	HCV-1	United States	2004
OL332047.1	HCV-1	United States	2004
OK553098.1	HCV-1	United States	2007
OK553097.1	HCV-1	United States	2007
OK553096.1	HCV-1	United States	2007
OK553095.1	HCV-1	United States	2007
OK553094.1	HCV-1	United States	2007
OK553093.1	HCV-1	United States	2007
OK553092.1	HCV-1	United States	2007
OK553091.1	HCV-1	United States	2007
OK553090.1	HCV-1	United States	2007
OK553089.1	HCV-1	United States	2007
OK553088.1	HCV-1	United States	2007
OK553087.1	HCV-1	United States	2007
OK553086.1	HCV-1	United States	2007
OK553085.1	HCV-1	United States	2007
OK553084.1	HCV-1	United States	2007
OK553083.1	HCV-1	United States	2007
OK553082.1	HCV-1	United States	2007
OK553081.1	HCV-1	United States	2007
OK553080.1	HCV-1	United States	2007
OK553079.1	HCV-1	United States	2007
OK553078.1	HCV-1	United States	2007
OK553077.1	HCV-1	United States	2007
OK553076.1	HCV-1	United States	2007
OK553075.1	HCV-1	United States	2007
OK553074.1	HCV-1	United States	2007
OK553073.1	HCV-1	United States	2007
OK553072.1	HCV-1	United States	2007
OK553071.1	HCV-1	United States	2007
OK553070.1	HCV-1	United States	2007
OK553069.1	HCV-1	United States	2007
OK553068.1	HCV-1	United States	2007
OK553067.1	HCV-1	United States	2007
OK553066.1	HCV-1	United States	2007
OK553065.1	HCV-1	United States	2007
OK553064.1	HCV-1	United States	2006
OK553063.1	HCV-1	United States	2006
OK553062.1	HCV-1	United States	2006
OK553061.1	HCV-1	United States	2006
OK553060.1	HCV-1	United States	2006
OK553059.1	HCV-1	United States	2006
OK553058.1	HCV-1	United States	2006
OK553057.1	HCV-1	United States	2006
OK553056.1	HCV-1	United States	2006
OK553055.1	HCV-1	United States	2006
OK553054.1	HCV-1	United States	2006
OK553053.1	HCV-1	United States	2006
OK553052.1	HCV-1	United States	2006
OK553051.1	HCV-1	United States	2006
OK553050.1	HCV-1	United States	2006
OK553049.1	HCV-1	United States	2006
OK553047.1	HCV-1	United States	2006
OK553046.1	HCV-1	United States	2006
OK553045.1	HCV-1	United States	2006
OK553044.1	HCV-1	United States	2006
OK553043.1	HCV-1	United States	2006
OK553042.1	HCV-1	United States	2006
OK553041.1	HCV-1	United States	2006
OK553040.1	HCV-1	United States	2006
OK553039.1	HCV-1	United States	2006
OK553038.1	HCV-1	United States	2006
OK553037.1	HCV-1	United States	2006
OK553036.1	HCV-1	United States	2006
OK553035.1	HCV-1	United States	2006
OK553034.1	HCV-1	United States	2006
OK553033.1	HCV-1	United States	2006
OK553032.1	HCV-1	United States	2006
OK553031.1	HCV-1	United States	2006
OK553029.1	HCV-1	United States	2006
OK553028.1	HCV-1	United States	2006
OK553027.1	HCV-1	United States	2006
OK553026.1	HCV-1	United States	2006
OK553025.1	HCV-1	United States	2006
OK553024.1	HCV-1	United States	2006
OK553023.1	HCV-1	United States	2006
OK553022.1	HCV-1	United States	2006
OK553021.1	HCV-1	United States	2006
OK553020.1	HCV-1	United States	2006
OK553019.1	HCV-1	United States	2006
OK553018.1	HCV-1	United States	2006
OK553017.1	HCV-1	United States	2006
OK553016.1	HCV-1	United States	2006
OK553015.1	HCV-1	United States	2006
OK553014.1	HCV-1	United States	2006
OK553013.1	HCV-1	United States	2006
OK553012.1	HCV-1	United States	2006
OK553011.1	HCV-1	United States	2006
OK553010.1	HCV-1	United States	2006
OK553009.1	HCV-1	United States	2006
OK553008.1	HCV-1	United States	2006
OK553007.1	HCV-1	United States	2006
OK553006.1	HCV-1	United States	2006
OK553005.1	HCV-1	United States	2006
OK553004.1	HCV-1	United States	2006
OK553003.1	HCV-1	United States	2006
OK553002.1	HCV-1	United States	2006
OK553001.1	HCV-1	United States	2006
OK553000.1	HCV-1	United States	2006
OK552999.1	HCV-1	United States	2006
OK552998.1	HCV-1	United States	2006
OK552997.1	HCV-1	United States	2006
OK552996.1	HCV-2	United States	2017
OK552995.1	HCV-2	United States	2017
OK552994.1	HCV-2	United States	2017
OK552993.1	HCV-2	United States	2017
OK552992.1	HCV-2	United States	2017
OK552991.1	HCV-2	United States	2017
OK552990.1	HCV-2	United States	2017
OK552989.1	HCV-2	United States	2017
OK552988.1	HCV-2	United States	2017
OK552987.1	HCV-2	United States	2017
OK552986.1	HCV-2	United States	2017
OK552985.1	HCV-2	United States	2017
OK552984.1	HCV-2	United States	2017
OK552983.1	HCV-2	United States	2017
OK552982.1	HCV-2	United States	2017
OK552981.1	HCV-2	United States	2017
OK552980.1	HCV-2	United States	2017
OK552979.1	HCV-2	United States	2017
OK552978.1	HCV-2	United States	2017
OK552977.1	HCV-2	United States	2017
OK552976.1	HCV-2	United States	2017
OK552975.1	HCV-2	United States	2017
OK552974.1	HCV-2	United States	2017
OK552973.1	HCV-2	United States	2017
OK552972.1	HCV-2	United States	2017
OK552971.1	HCV-2	United States	2017
OK552970.1	HCV-2	United States	2017
OK552969.1	HCV-2	United States	2017
OK552968.1	HCV-2	United States	2017
OK552967.1	HCV-2	United States	2017
OK552966.1	HCV-2	United States	2017
OK552964.1	HCV-2	United States	2017
OK552963.1	HCV-2	United States	2017
OK552962.1	HCV-2	United States	2017
OK552961.1	HCV-2	United States	2017
OK552960.1	HCV-2	United States	2017
OK552959.1	HCV-2	United States	2016
OK552958.1	HCV-2	United States	2016
OK552957.1	HCV-2	United States	2016
OK552956.1	HCV-2	United States	2016
OK552955.1	HCV-2	United States	2016
OK552954.1	HCV-2	United States	2016
